12, 2, 0, -19, -2, -5, 1, 15, 12, 23, 8, -4, -7, -32, 2, 0, -7, 1, -16, 10, 15, 22, 26, 14, -3, 0, -52, 7, 10, 61, 55, -4, -29, -45, -23, 3, 31, 17, -3, -16, -31, 6, 37, 45, 39, -2, -48, -74, -55, 9, 68, 93, 64, -14, -75, -72, -44, 2, 29, 35, 5, -9, 6, 19, 36, 40, 21, -30, -67, -52, -26, 19, 20, 32, 0, -15, -20, 19, 38, 55, 41, -15, -55, -62, -25, 24, 54, 45, -2, -25, -36, -26, 25, 38, 38, 10, -33, -44, -45, -11
-9, 9, 13, 11, 14, -4, -16, -24, -14, 6, 11, 1, 2, -3, 5, 4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 0, 748, -1442, -136, 546, 173, 351, 266, -137, -258, -266, -293, 56, 207, 276, 246, -51, -299, -123, -150, 129, 217, 125, 22, -36, -242, -85, -24, 113, 141, 36, -98, -73, -50, 54, 88, 67, 28, -14, -99, -59, -15, 45, 75, 12, -47, -40, -12, 28, 41, 28, 6, 2, -44, -18, 0, 24, 262, 1217, -1430, -1204, 856, 575, 575, 486, -166, -458, -358, -365, -101, 215, 362, 281, 88, -273
-9, 9, 13, 11, 14, -4, -16, -24, -14, 6, 11, 1, 2, -3, 5, 4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 0, 201, 48, -21, -181, -174, 5, -32, 260, 68, -60, -100, -104, -5, 92, 72, 62, -4, -40, -84, -14, 35, 46, 25, -48, -57, -8, 2, 55, 38, 29, -10, -26, -30, 25, 408, -766, 244, 99, -235, 268, -15, 210, 20, -207, -256, -130, 4, 212, 262, 119, -192, -94, -244, 59, 130, 131, 75, 20, -153, -106, -34, 88, 133, 38, -66, -85, -84, 6, 77, 80, 43, -11, -76, -51
11, 1, 2, -3, 5, 4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, 0, 1276, -1481, -754, 535, 482, 561, 242, -121, -411, -264, -288, -175, 128, 395, 345, 203, -303, -335, -147, -77, 219, 301, 96, 48, -218, -159, -67, 61, 106, 145, -32, -102, -82, -33, 54, 82, 51, -2, -26, -81, -9, 27, 49, 43, -25, -66, -18, 4, 42, 43, 16, -5, -41, -33, -6, 19, 30, 21, 26, 382, -637, -402, 536, -18, 217, 203, -73, -189, -59, -207, 2, 48, 127, 89
2, -3, 5, 4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, 0, 50, -38, 0, -97, -3, 22, 19, 48, -9, -50, -16, 7, 45, 35, 24, -22, -15, -28, -6, 11, 14, -1, -16, -19, 143, 1600, -829, -851, 867, 491, 448, 313, -170, -444, -144, -343, -75, 113, 328, 279, 218, -191, -299, -97, -110, 212, 143, 80, 48, -114, -168, -33, 2, 128, 102, -28, -71, -63, -10, 46, 57, 19, 2, -20, -65, 2, 25, 52, 22, -38, -44, -8, 18, 39
2, -3, 5, 4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, 0, -26978, 1763, 2956, -534, -868, 1160, -1150, -577, 893, -223, 497, 375, -351, 165, 32, -649, 220, 61, -110, 544, -238, -26, 58, -253, 21, 125, -37, 171, -43, -130, -11, 38, 19, 73, -23, -42, 31, -46, -19, 60, -2, 49, -26, -74, 4, 40, 1964, -16362, 2144, 1749, 737, -743, 803, -1034, -614, 777, -170, 452, 38, 174, -64, 1, -265, -294, 264, -120, 277, 151, -185, 97, -178, -106, 62, 52
4, 12, 16, 6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 0, 31, -60, 27, -57, -28, 46, 24, 42, -34, -58, 100, 2121, -21508, 1515, 777, -1050, 293, -649, -290, -53, 257, -169, 328, 68, -80, 105, -60, -336, 221, -135, 116, 232, -205, 51, -33, -89, 101, -23, 49, 75, -64, -53, 17, 6, 34, 29, -49, -9, 26, -43, 188, 2861, -32768, 2103, 656, 203, -398, -513, -462, -149, 304, 27, 216, 231, -148, -8, -3, -353, 124, 40, -27, 317, -147, 22
16, 6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 0, -99, -17, -28, 24, 36, 39, -37, -4, 0, -36, 23, 21, 7, 18, 1355, -9412, -281, 2643, 166, -1476, 783, -834, -307, 603, -258, 451, 204, -206, 85, 23, -413, 125, 81, -89, 387, -180, -61, 47, -172, 38, 90, 18, 83, -64, -90, 27, 44, 12, 45, -29, -44, 27, -47, 11, 49, 12, 1606, -6868, -3450, 2085, 700, -838, 358, -657, -723, 520, -164, 331, 150, 105, -19, -17, -235, -191
6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, 0, 56, -127, -23, 54, 25, 54, 50, -119, -16, 1, 33, 34, 22, -47, 12, -19, -20, 42, 14, 17, 88, 3409, 4887, 2593, 2203, -818, -571, -1024, -648, 96, 535, -212, 612, 153, -352, 81, -94, -479, 415, -111, 55, 393, -360, 90, -58, -163, 135, 32, 45, 82, -121, -42, 33, 41, 5, 40, -61, -7, 35, -68, 37, 19, -3, 27, -51, 328, 2513, 12293, 2966, 379, -903, 88, -906, -489
6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, 0, 200, -180, 20, -129, -248, 215, -87, 216, 145, -197, 86, -155, -54, 67, 30, 67, 49, -127, -20, -10, 32, 54, 35, -61, 9, -19, -34, 62, 1070, -177, -569, 2245, 1, -854, 741, -709, -362, 464, -222, 330, 144, -104, 60, 45, -287, -14, 121, -131, 295, -83, -76, 64, -133, 9, 59, -20, 65, -10, -65, 6, 7, 18, 33, 5, -45, 30, -30, -15, 33, -14, 36, 346, 2188, 13114
6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, 0, -645, -495, -48, 345, 23, 186, 247, -178, -9, -31, -369, 162, 42, -15, 322, -187, 39, -63, -116, 34, 56, 14, 76, -80, -48, -19, 33, 28, 39, -14, -39, 24, -35, 7, 40, 2, 934, 88, -3809, 2366, 585, -1354, 837, -995, -467, 518, -104, 276, 253, -106, 28, 72, -337, -86, 210, -159, 309, 6, -157, 87, -132, -55, 121, -26, 82, 8, -112, -11, 36, 15, 41, 2, -52, 24
6, -4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, 0, -20526, 393, 1375, 649, -1431, 433, -629, -712, 623, -180, 370, 223, -98, 28, 41, -403, 40, 72, -44, 365, -132, 0, -48, -141, 15, 45, 32, 95, -3, -96, -45, 8, 46, 60, 7, -54, 16, -54, -1, 55, 10, 39, -31, -68, -14, 41, 28, 40, -21, 3, 1632, -23900, 1501, 1425, -588, -544, 130, -654, -277, 547, -217, 435, 115, -176, 61, 6, -345, 121, 68, -65, 313, -193, 51, -8
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, -68, -41, 24, 21, 10, 20, -51, -11, 47, -39, 30, 1186, -3623, 5859, 1915, 684, -1235, 433, -638, -739, 531, -166, 381, 86, 100, -44, -17, -139, -245, 157, -38, 136, 189, -185, 58, -116, -53, 31, 44, 30, 65, -101, -20, -12, 25, 36, 47, -56, -4, 1, -27, 22, 14, 16, 10, 407, 1528, 14542, 2624, 545, -1227, 972, -1317, -381, 411, 197, 69, 344, -44, -141, 78, -249, -222, 349
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, 96, -144, -21, 143, -43, 59, 17, -106, 3, 38, 15, 18, 15, -73, 32, 4, -42, 54, -3, 58, 1854, -15404, -78, 1629, 455, -717, 111, -527, -542, 448, -182, 323, 168, -3, 3, 2, -242, -59, 131, -92, 241, -42, -62, 37, -119, 4, 48, 0, 75, -15, -62, -9, 7, 31, 14, 18, -38, 17, -21, -25, 46, 760, 238, -3149, 2315, 143, -944, 627, -913, -298, 598, -212, 373, 111
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, -7, 161, -137, 315, -93, -101, 70, -113, -6, 93, 150, -433, 15919, 3300, 250, -736, 31, -1148, -487, -17, 581, -35, 321, 324, -297, 61, -47, -533, 256, 2, 46, 413, -304, 115, -127, 1988, -20623, 1364, 1971, -135, -1151, 795, -1288, -131, 732, 3, 321, 135, -115, -77, 27, -270, -51, 156, -156, 351, -241, -19, 70, -127, 13, 87, -35, 81, 1101, -5578, 5312, 2332, 285, -1321, 517, -1097, -275, 336
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, -7, -72, -301, 73, 106, -51, 278, -95, 4, -46, 830, 84, 5057, 2610, 497, -1472, 817, -1228, -200, 546, -76, 270, 182, -70, -16, 40, -281, -54, 256, -210, 320, -57, -108, 94, -152, -38, 129, -19, 49, 26, -100, 9, 40, -3, 33, 1, -44, 783, 832, 11480, 2471, 134, -869, 213, -874, -329, 127, 147, 159, 79, 216, -15, -46, -95, -317, 188, -69, 166, 175, -170, 80, -130, -76, 37
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, -35, 10, 2414, -25223, 1578, 1667, -1158, -243, -456, -471, -146, 472, -200, 363, 24, -197, 140, -83, -371, 292, -124, 83, 266, -271, 117, -49, -143, 1196, -3959, 5992, 2206, 321, -1341, 542, -983, -301, 375, -94, 339, 58, 132, -38, -12, -70, -315, 165, -98, 142, 137, -124, 49, -96, 2442, -29160, 1927, 1500, -925, -608, -41, -663, -295, 673, -222, 475, 113, -218, 27, 24, -395, 320, -85, 24, 260, -260
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, 16735, 3036, 448, -758, 701, -1244, -428, 394, 182, 180, 112, 268, -228, 37, -192, -257, 237, -130, 217, 206, -177, 2724, -23234, 1312, 2693, -344, -828, 1278, -1419, -555, 803, 63, 202, 516, -238, 101, 62, -631, 163, 165, -159, 535, -195, -123, 50, -181, -6, 151, -56, 134, -5, -145, -24, 41, 27, 56, -3, 733, -1011, 11968, 2320, 569, -841, 204, -1032, -520, 161, 327, 167, 204, 243, -263, 10, -55
-4, -19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 0, 161, -168, 44, -122, 1, 82, 21, 1138, -6224, 7981, 3006, 631, -574, 1196, -1406, -546, 501, 286, -188, 604, -13, -188, 106, -459, -156, 354, -241, 424, 50, -257, 148, -181, -133, 172, 419, 2065, 16622, 2658, 162, -489, -346, -658, -323, 169, 142, 194, -2, 272, -156, 60, -9, -429, 175, -37, 71, 333, 5, 2244, -28024, 1820, 1533, -1190, -166, -210, -401, -60, 334, -157, 454, 109, -229, 77, -73, -396
-19, -6, 0, -3, 13, 27, -32, -42, -35, 7, 32, 34, 5, -3, -30, -8, -16, -38, 0, 32, 44, 4, 47, -4, 30, 0, 85, -163, -31, 139, -14, 56, 40, -115, -3, 7, 19, 43, 29, -78, 16, -44, -19, 73, 7, 31, -35, -57, -4, 27, 19, 58, -29, -10, -28, 0, 13, 34, -38, -69, -18, 13, 51, 83, 33, 25, -66, -88, -47, 8, 19, 58, 70, 3, -51, -45, -7, 37, 58, -6, -28, -24, -18, -9, 16, 26, 29, -7, -2, 0, 3, -9, -13, 23, -17, 4, 5, 9, -10, 1
